dt_trading,Dec 18,Jan 19,Feb 19,Mar 19,Apr 19,May 19,Jun 19
2018-11-01,23.649,23.859,23.955,23.639,22.176,21.556,21.386
2018-11-02,24.283,24.481,24.551,24.251,22.601,21.995,21.86
2018-11-05,23.808,23.993,24.038,23.758,22.395,21.875,21.64
2018-11-06,23.896,24.125,24.176,23.915,22.465,21.895,21.66
2018-11-07,24.42,24.61,24.67,24.375,22.864,22.259,22.024
2018-11-08,24.429,24.595,24.593,24.287,22.691,22.011,21.776
2018-11-09,24.326,24.525,24.61,24.256,22.672,22.012,21.777
2018-11-12,25.955,26.104,26.121,25.778,23.774,23.056,22.734
2018-11-13,26.519,26.638,26.653,26.355,23.892,22.992,22.607
2018-11-14,26.278,26.411,26.401,26.052,23.525,22.59,22.23
2018-11-15,26.677,26.727,26.775,26.372,23.697,22.737,22.362
2018-11-16,25.956,26.049,26.08,25.676,23.214,22.364,22.049
2018-11-19,24.152,24.315,24.373,24.032,22.421,21.721,21.406
2018-11-20,24.352,24.542,24.587,24.222,22.402,21.701999999999998,21.387
2018-11-21,24.5,24.675,24.72,24.35,22.305,21.561,21.244
2018-11-22,24.71,24.925,24.963,24.583,22.495,21.64,21.325
2018-11-23,24.819,25.033,25.041,24.638,22.248,21.223,20.908
2018-11-26,24.543,24.783,24.829,24.446,22.245,21.38,21.125
2018-11-27,25.159,25.42,25.439,25.109,22.809,21.942,21.647
2018-11-28,24.302,24.625,24.66,24.295,22.172,21.457,21.162
2018-11-29,24.633,24.977,25.009,24.609,22.524,21.654,21.359
2018-11-30,,24.691,24.779,24.41,22.413,21.588,21.293
2018-12-03,,25.083,25.145,24.745,22.626,21.715,21.41
2018-12-04,,24.417,24.514,24.172,22.405,21.585,21.305
2018-12-05,,23.822,23.934,23.632,22.02,21.295,21.015
2018-12-06,,23.166,23.326,23.046,21.784,21.209,20.914
2018-12-07,,23.143,23.348,23.004,21.848,21.388,21.118
2018-12-10,,23.25,23.425,23.124,21.849,21.384,21.161
2018-12-11,,23.621,23.794,23.449,22.096,21.576,21.346
2018-12-12,,23.92,24.12,23.83,22.475,21.915,21.68
2018-12-13,,24.226,24.42,24.141,22.746,22.166,21.931
2018-12-14,,24.646,24.831,24.531,23.168,22.548000000000002,22.328
2018-12-17,,24.681,24.821,24.551,23.183,22.618,22.378
2018-12-18,,23.732,23.907,23.676,22.566,22.081,21.886
2018-12-19,,24.21,24.35,24.1,22.89,22.394,22.159
2018-12-20,,24.605,24.683,24.372,22.95,22.4,22.15
2018-12-21,,24.9,24.995,24.595,22.901,22.201,21.951
2018-12-24,,24.247,24.323,23.974,22.387,21.672,21.422
2018-12-27,,23.32,23.41,23.093,21.837,21.162,20.912
2018-12-28,,22.81,22.901,22.539,21.478,20.868,20.648
2018-12-31,,,21.982,21.751,20.843,20.373,20.26
2019-01-02,,,22.473,22.173,21.073,20.593,20.343
2019-01-03,,,22.256,21.971,20.9,20.4,20.132
2019-01-04,,,22.93,22.633,21.375,20.848,20.578
2019-01-07,,,21.531,21.331,20.504,20.144,20.084
2019-01-08,,,22.092,21.82,20.958,20.553,20.348
2019-01-09,,,21.719,21.447,20.573,20.173,19.968
2019-01-10,,,21.674,21.374,20.524,20.124,19.919
2019-01-11,,,22.255,21.905,20.94,20.485,20.31
2019-01-14,,,21.675,21.4,20.525,20.125,19.965
2019-01-15,,,21.999,21.686,20.898,20.498,20.293
2019-01-16,,,22.005,21.715,21.0,20.648,20.443
2019-01-17,,,22.994,22.647,21.919,21.567,21.369
2019-01-18,,,22.604,22.362,21.725,21.418,21.224
2019-01-21,,,21.774,21.635,21.162,20.951999999999998,20.842
2019-01-22,,,21.813,21.664,21.184,20.954,20.886
2019-01-23,,,22.191,22.011,21.505,21.263,21.051
2019-01-24,,,21.279,21.159,20.709,20.529,20.414
2019-01-25,,,20.889,20.787,20.436,20.307,20.222
2019-01-28,,,20.552,20.5,20.135,19.995,19.935
2019-01-29,,,20.586,20.558,20.206,20.134,20.039
2019-01-30,,,20.181,20.152,19.802,19.665,19.6
2019-01-31,,,,19.852,19.477,19.417,19.337
2019-02-01,,,,19.299,19.068,19.003,18.998
2019-02-04,,,,19.355,19.149,19.0,18.93
2019-02-05,,,,19.138,18.938,18.781,18.72
2019-02-06,,,,18.916,18.676,18.594,18.539
2019-02-07,,,,18.912,18.631,18.528,18.473
2019-02-08,,,,18.264,17.987,17.918,17.963
2019-02-11,,,,18.053,17.897,17.892,17.872
2019-02-12,,,,17.785,17.635,17.612,17.594
2019-02-13,,,,18.022,17.897,17.899,17.879
2019-02-14,,,,17.755,17.671,17.701999999999998,17.682
2019-02-15,,,,18.1,18.039,18.046,17.987
2019-02-18,,,,17.429,17.379,17.573,17.524
2019-02-19,,,,17.703,17.735,17.859,17.879
2019-02-20,,,,18.144,18.149,18.274,18.333
2019-02-21,,,,17.521,17.64,17.789,17.889
2019-02-22,,,,17.231,17.382,17.532,17.602
2019-02-25,,,,16.946,17.188,17.291,17.375
2019-02-26,,,,17.044,17.223,17.33,17.395
2019-02-27,,,,17.617,17.686,17.775,17.92
