dt_trading,Dec 14,Jan 15,Feb 15,Mar 15,Apr 15,May 15,Jun 15
2014-11-03,23.2,23.548000000000002,23.611,23.361,22.9,22.8,22.318
2014-11-04,22.835,23.123,23.373,22.975,22.875,22.45,21.934
2014-11-05,22.796,23.074,23.21,22.96,22.9,22.475,21.917
2014-11-06,22.861,23.176,23.346,23.109,22.8,22.55,22.503
2014-11-07,23.221,23.597,23.73,23.551,23.113,22.708,22.622
2014-11-10,23.274,23.627,23.816,23.562,23.113,22.777,22.76
2014-11-11,22.941,23.338,23.453,23.187,22.955,22.605,22.513
2014-11-12,22.933,23.268,23.418,23.183,22.863,22.513,22.403
2014-11-13,22.525,22.864,23.101,22.75,22.55,22.2,22.159
2014-11-14,22.276,22.672,22.84,22.598,22.453,22.103,22.062
2014-11-17,22.791,23.114,23.301,23.011,22.69,22.2,22.265
2014-11-18,22.815,23.14,23.275,23.013,22.679,22.25,22.285
2014-11-19,22.897,23.214,23.393,23.114,22.874,22.523,22.175
2014-11-20,23.078,23.365,23.528,23.282,22.925,22.5,22.202
2014-11-21,23.394,23.711,23.886,23.626,23.265,22.84,22.561
2014-11-24,23.786,24.062,24.17,23.935,23.493,23.068,22.789
2014-11-25,24.642,24.821,24.974,24.703,24.158,23.733,23.454
2014-11-26,24.55,24.722,24.807,24.586,23.891,23.466,23.305
2014-11-27,24.358,24.607,24.736,24.468,23.746,23.321,23.205
2014-11-28,,24.207,24.297,24.159,23.373,22.948,22.832
2014-12-01,,24.02,24.194,23.914,23.098,22.742,22.637
2014-12-02,,23.74,23.865,23.594,23.05,22.526,22.422
2014-12-03,,23.667,23.825,23.439,22.699,22.575,22.471
2014-12-04,,23.468,23.613,23.266,22.453,22.33,22.228
2014-12-05,,23.296,23.456,23.209,22.517,22.394,22.291
2014-12-08,,23.027,23.234,22.934,22.346,22.223,22.12
2014-12-09,,23.141,23.358,23.084,22.436,22.322,22.217
2014-12-10,,23.106,23.288,22.88,22.353,22.239,22.134
2014-12-11,,22.792,22.964,22.664,22.27,22.006,21.78
2014-12-12,,22.734,23.025,22.678,22.416,22.036,21.546
2014-12-15,,22.358,22.508,22.259,22.123,21.743,21.253
2014-12-16,,22.471,22.636,22.38,22.096,21.716,21.226
2014-12-17,,22.414,22.571,22.443,22.15,21.77,21.28
2014-12-18,,22.667,22.829,22.582,22.305,21.925,21.435
2014-12-19,,22.382,22.551,22.459,22.004,21.624,21.134
2014-12-22,,22.194,22.374,22.11,21.81,21.43,20.94
2014-12-23,,22.348,22.524,22.299,21.924,21.544,21.054
2014-12-24,,22.595,22.785,22.547,22.13,21.75,21.26
2014-12-29,,21.673000000000002,21.991,21.814,21.5,21.12,20.63
2014-12-30,,21.208,21.538,21.218,21.166,20.786,20.296
2014-12-31,,21.208,21.296,21.175,21.073,20.693,20.203
2015-01-02,,,20.448,20.227,20.298,19.918,19.428
2015-01-05,,,20.145,20.033,19.988,19.907,19.14
2015-01-06,,,19.538,19.381,18.957,19.531,18.764
2015-01-07,,,19.594,19.416,19.216,19.358,18.591
2015-01-08,,,19.591,19.45,19.241,19.194,18.944
2015-01-09,,,19.56,19.384,19.32,19.205,18.955
2015-01-12,,,19.76,19.605,19.417,19.221,18.944
2015-01-13,,,20.451,20.198,19.909,19.609,19.359
2015-01-14,,,20.592,20.364,20.03,19.665,19.063
2015-01-15,,,20.25,20.044,19.812,19.626,19.024
2015-01-16,,,19.82,19.602,19.43,19.352,18.75
2015-01-19,,,19.275,19.165,19.028,18.727,18.545
2015-01-20,,,19.249,19.181,18.974,18.718,18.58
2015-01-21,,,19.525,19.443,19.277,19.011,18.841
2015-01-22,,,19.549,19.467,19.282,19.057,18.877
2015-01-23,,,19.467,19.421,19.295,19.093,18.993
2015-01-26,,,19.612,19.576,19.393,19.117,19.005
2015-01-27,,,19.919,19.868,19.639,19.377,19.238
2015-01-28,,,20.214,20.149,19.883,19.548000000000002,19.356
2015-01-29,,,20.7,20.579,20.25,19.875,19.727
2015-01-30,,,,20.265,19.96,19.563,19.401
2015-02-02,,,,20.287,20.075,19.743,19.584
2015-02-03,,,,20.112,19.925,19.729,19.516
2015-02-04,,,,20.406,20.223,19.942,19.836
2015-02-05,,,,21.374,21.174,20.884,20.72
2015-02-06,,,,21.009,20.874,20.59,20.488
2015-02-09,,,,21.601,21.445,21.275,21.165
2015-02-10,,,,22.344,22.047,21.965,21.718
2015-02-11,,,,22.878,22.512,22.069,21.735
2015-02-12,,,,24.102,23.388,22.823,22.568
2015-02-13,,,,23.55,22.955,22.428,22.184
2015-02-16,,,,22.807,22.417,21.976,21.754
2015-02-17,,,,22.684,22.298,21.823,21.626
2015-02-18,,,,22.654,22.381,21.965,21.721
2015-02-19,,,,21.877,21.646,21.241,21.07
2015-02-20,,,,22.203,21.931,21.431,21.223
2015-02-23,,,,21.877,21.626,21.128,20.961
2015-02-24,,,,22.308,22.052,21.5,21.276
2015-02-25,,,,23.016,22.696,22.073,21.813
2015-02-26,,,,23.756,23.256,22.387,22.022
