dt_trading,Dec 17,Jan 18,Feb 18,Mar 18,Apr 18,May 18,Jun 18
2017-11-01,18.436,18.521,18.53,18.29,17.51,16.995,16.765
2017-11-02,18.45,18.534,18.554,18.279,17.379,16.819,16.579
2017-11-03,18.215,18.311,18.314,18.058,17.188,16.623,16.376
2017-11-06,18.856,18.953,18.943,18.653,17.655,17.01,16.72
2017-11-07,19.22,19.327,19.317,19.027,17.978,17.263,16.938
2017-11-08,19.251,19.361,19.351,19.084,18.105,17.275,16.985
2017-11-09,19.418,19.508,19.51,19.228,18.228,17.428,17.138
2017-11-10,19.633,19.746,19.746,19.466,18.474,17.664,17.374
2017-11-13,19.835,19.947,19.931,19.631,18.641,17.716,17.416
2017-11-14,19.25,19.35,19.325,19.003,18.104,17.264,16.989
2017-11-15,18.895,19.013,18.993,18.688,17.888,17.128,16.828
2017-11-16,19.185,19.304,19.291,18.993,18.126,17.311,16.981
2017-11-17,18.85,18.96,18.937,18.652,17.877,17.227,16.892
2017-11-20,19.389,19.499,19.499,19.194,18.22,17.435,17.08
2017-11-21,19.746,19.839,19.824,19.519,18.489,17.678,17.278
2017-11-22,19.588,19.683,19.669,19.374,18.381,17.556,17.156
2017-11-23,19.943,20.03,20.015,19.705,18.589,17.644,17.334
2017-11-24,20.441,20.531,20.507,20.187,18.763,17.743,17.373
2017-11-27,20.608,20.675,20.65,20.32,18.715,17.64,17.32
2017-11-28,20.236,20.28,20.255,19.912,18.422,17.382,17.072
2017-11-29,20.339,20.341,20.311,19.992,18.509,17.539,17.229
2017-11-30,,20.304,20.264,19.944,18.444,17.484,17.189
2017-12-01,,20.852,20.754,20.329,18.594,17.554,17.259
2017-12-04,,21.303,21.232,20.777,18.724,17.524,17.199
2017-12-05,,21.355,21.252,20.846,18.652,17.411,17.086
2017-12-06,,21.175,21.059,20.593,18.461,17.208,16.883
2017-12-07,,21.375,21.2,20.71,18.437,17.197,16.887
2017-12-08,,20.95,20.819,20.4,18.255,17.03,16.79
2017-12-11,,20.985,20.885,20.737,18.66,17.39,17.165
2017-12-12,,21.764,21.633,21.133,18.693,17.568,17.303
2017-12-13,,20.648,20.562,20.15,18.222,17.122,16.942
2017-12-14,,21.303,21.204,20.703,18.689,17.464,17.284
2017-12-15,,21.036,20.936,20.368,18.568,17.437,17.257
2017-12-18,,20.475,20.425,19.838,18.434,17.434,17.254
2017-12-19,,20.122,20.072,19.536,18.358,17.493,17.288
2017-12-20,,20.336,20.286,19.736,18.424,17.659,17.489
2017-12-21,,20.016,19.981,19.531,18.311,17.611,17.421
2017-12-22,,19.675,19.645,19.185,18.13,17.555,17.355
2017-12-27,,19.167,19.162,18.817,17.89,17.438,17.257
2017-12-28,,19.711,19.62,19.22,18.225,17.705,17.485
2017-12-29,,,19.625,19.215,18.21,17.68,17.47
2018-01-02,,,19.428,19.023,18.073,17.598,17.413
2018-01-03,,,19.31,18.96,18.1,17.593,17.408
2018-01-04,,,19.2,18.876,18.048,17.588,17.418
2018-01-05,,,18.927,18.645,17.91,17.495,17.325
2018-01-08,,,19.059,18.776,18.006,17.616,17.446
2018-01-09,,,19.446,19.155,18.266,17.796,17.626
2018-01-10,,,19.512,19.26,18.414,18.009,17.839
2018-01-11,,,19.332,19.101,18.179,17.779,17.609
2018-01-12,,,19.854,19.579,18.424,17.872,17.662
2018-01-15,,,19.175,18.985,18.015,17.595,17.41
2018-01-16,,,18.999,18.825,17.79,17.399,17.214
2018-01-17,,,18.465,18.309,17.531,17.161,16.991
2018-01-18,,,18.3,18.15,17.48,17.17,17.056
2018-01-19,,,18.177,18.061,17.4,17.132,17.017
2018-01-22,,,18.539,18.363,17.578,17.256,17.17
2018-01-23,,,18.234,18.099,17.375,17.06,17.019
2018-01-24,,,17.862,17.742,17.139,16.824,16.804
2018-01-25,,,17.781,17.658,17.054,16.763,16.743
2018-01-26,,,17.853,17.733,16.967,16.66,16.58
2018-01-29,,,17.486,17.419,16.769,16.499,16.429
2018-01-30,,,17.351,17.292,16.639,16.369,16.3
2018-01-31,,,,17.95,17.1,16.78,16.68
2018-02-01,,,,18.25,17.2,16.777,16.625
2018-02-02,,,,18.185,17.147,16.676,16.482
2018-02-05,,,,17.624,16.724,16.324,16.181
2018-02-06,,,,17.857,16.907,16.491,16.346
2018-02-07,,,,18.262,17.2,16.71,16.485
2018-02-08,,,,17.898,17.017,16.527,16.307
2018-02-09,,,,17.901,16.996,16.501,16.246
2018-02-12,,,,17.955,17.035,16.505,16.296
2018-02-13,,,,18.31,17.319,16.598,16.388
2018-02-14,,,,18.153,17.29,16.57,16.44
2018-02-15,,,,17.775,17.025,16.451,16.331
2018-02-16,,,,18.204,17.288,16.633,16.513
2018-02-19,,,,19.181,17.896,17.027,16.904
2018-02-20,,,,19.888,18.165,17.199,17.075
2018-02-21,,,,19.806,18.15,17.15,16.98
2018-02-22,,,,19.928,18.045,17.107,16.972
2018-02-23,,,,20.71,18.072,17.185,17.068
2018-02-26,,,,18.602,17.408,16.807,16.687
2018-02-27,,,,19.185,17.525,16.86,16.76
