dt_trading,2011-11-01,2011-11-02,2011-11-03,2011-11-04,2011-11-07,2011-11-08,2011-11-09,2011-11-10,2011-11-11,2011-11-14,2011-11-15,2011-11-16,2011-11-17,2011-11-18,2011-11-21,2011-11-22,2011-11-23,2011-11-24,2011-11-25,2011-11-28,2011-11-29,2011-11-30,2011-12-01,2011-12-02,2011-12-05,2011-12-06,2011-12-07,2011-12-08,2011-12-09,2011-12-12,2011-12-13,2011-12-14,2011-12-15,2011-12-16,2011-12-19,2011-12-20,2011-12-21,2011-12-22,2011-12-23,2011-12-28,2011-12-29,2011-12-30,2012-01-03,2012-01-04,2012-01-05,2012-01-06,2012-01-09,2012-01-10,2012-01-11,2012-01-12,2012-01-13,2012-01-16,2012-01-17,2012-01-18,2012-01-19,2012-01-20,2012-01-23,2012-01-24,2012-01-25,2012-01-26,2012-01-27,2012-01-30,2012-01-31,2012-02-01,2012-02-02,2012-02-03,2012-02-06,2012-02-07,2012-02-08,2012-02-09,2012-02-10,2012-02-13,2012-02-14,2012-02-15,2012-02-16,2012-02-17,2012-02-20,2012-02-21,2012-02-22,2012-02-23,2012-02-24,2012-02-27,2012-02-28
2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-02,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-03,23.7303122399721,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-04,23.810348483306537,21.84544987541684,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-07,24.04625797068161,22.276984600662264,23.30174255906953,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-08,24.12272893605845,22.41775454198235,23.40046301122676,23.209798537582934,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-09,24.197774916220688,22.55632427253136,23.497662490905697,23.319026781270743,24.489418322995956,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-10,24.27121498202133,22.692339355058234,23.593026697752627,23.427148055097387,24.57831607279944,23.994138453030967,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-11,24.342884472884947,22.82547415170063,23.686268071622468,23.533667210125216,24.666205005814852,24.087695535133676,24.071879991295795,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-14,24.54586691867242,23.20477243852818,23.950780697047584,23.839271134032103,24.919531356738332,24.359665219080764,24.28232296711344,23.280165702028405,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
