dt_trading,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-29,2015-12-30,2015-12-31,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26
2015-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,17.658091696666787,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-05,17.666143807994146,17.516567438947575,17.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,17.67411897387508,17.53307130455403,17.496255469405785,17.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-09,17.697250188387077,17.581617973836586,17.559281056837637,17.24955716484497,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-10,17.70459844475461,17.59730381903743,17.579816701995092,17.27395525973602,16.809071352646463,16.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-11,17.711723674536398,17.61266391247911,17.600014178487967,17.297981653666294,16.867858621223967,16.529427810003973,16.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-12,17.71860475113927,17.627657599400983,17.619819172374946,17.3215592642307,16.926093731061254,16.583561432120707,16.614558266890054,16.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,17.72522324451499,17.642248146993598,17.63918185108904,17.344617434273673,16.983528378222026,16.637124318203234,16.653871282359102,16.417871230283478,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-16,17.74335937297022,17.68329245496991,17.694184891139006,17.410065108461904,17.14883741197533,16.791947606642466,16.768141005136,16.543700648869844,16.334844037711335,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-17,17.748797163852846,17.695981556175585,17.71136961097816,17.430467449854806,17.20097504599113,16.84089336282414,16.804371375780132,16.583897660008862,16.378295332844452,16.077175833407537,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-18,17.75392066944059,17.708142683273163,17.72793007342436,17.450093443691884,17.251361605341966,16.888208057928704,16.83940146657128,16.622871424074862,16.420544408492816,16.153574460089818,16.559648528956323,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-19,17.75872763895462,17.719762635160514,17.74384333415655,17.468910984314924,17.29986514916876,16.93374368765103,16.87309759257617,16.660446989462717,16.461362890534257,16.228483584292785,16.618614369843698,17.055414316723887,17.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,17.763218518161008,17.73083213268676,17.75909093022802,17.486894391315264,17.34637313045863,16.977373601253827,16.90534515012424,16.696472843315124,16.500551659351405,16.301270780123595,16.676276056112016,17.110086501859968,17.191631164424557,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-23,17.774839519768502,17.76070393685837,17.800722321625788,17.53567938523693,17.47308913667095,17.095882841489406,16.992536594262667,16.79408858830432,16.606787307855814,16.501749119813862,16.83634227247402,17.263395065950768,17.238761268464916,17.424171841953836,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,17.778124426303027,17.7695572644558,17.813212257073687,17.55019795865108,17.510877274608387,17.131050454597567,17.01822546653218,16.822869242398774,16.63805111769854,16.561287785039912,16.884061562484796,17.30928194156339,17.252811864927782,17.415845314223986,17.289275448855527,17.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-25,17.781135919533778,17.77787257120601,17.825011433742137,17.563850375142604,17.546398022637533,17.16399940141704,17.042178970932817,16.84969420188888,16.667128433802404,16.61671497378883,16.928481945933125,17.351954733729322,17.26576094551064,17.407748215244347,17.278738594521013,17.556961395361526,17.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
