dt_trading,Dec 16,Jan 17,Feb 17,Mar 17,Apr 17,May 17,Jun 17
2016-11-01,18.447,18.522,18.512,18.207,17.392,16.942,16.701999999999998
2016-11-02,18.955,19.047,19.107,18.698,17.672,17.014,16.739
2016-11-03,18.868,18.894,18.894,18.579,17.529,16.892,16.615
2016-11-04,18.338,18.322,18.308,18.073,17.114,16.53,16.273
2016-11-07,17.988,18.063,18.102,17.788,16.897,16.345,16.12
2016-11-08,17.646,17.633,17.64,17.39,16.638,16.107,16.012
2016-11-09,17.914,17.938,17.951999999999998,17.697,16.82,16.205,16.11
2016-11-10,18.071,18.089,18.133,17.858,17.015,16.441,16.235
2016-11-11,18.062,18.069,18.089,17.784,16.83,16.176,15.911
2016-11-14,17.589,17.619,17.619,17.294,16.394,15.799,15.559
2016-11-15,17.85,17.858,17.853,17.548000000000002,16.648,16.073,15.843
2016-11-16,17.63,17.64,17.616,17.351,16.54,15.965,15.735
2016-11-17,17.638,17.668,17.658,17.358,16.573,16.023,15.808
2016-11-18,17.898,17.933,17.924,17.601,16.772,16.168,15.909
2016-11-21,17.37,17.416,17.435,17.224,16.55,16.067,15.84
2016-11-22,17.629,17.664,17.643,17.425,16.761,16.285,16.058
2016-11-23,17.805,17.871,17.846,17.629,16.958,16.44,16.185
2016-11-24,17.844,17.909,17.911,17.712,17.023,16.495,16.255
2016-11-25,17.703,17.759,17.82,17.636,16.894,16.309,16.079
2016-11-28,17.961,17.998,18.018,17.818,16.993,16.378,16.133
2016-11-29,17.971,17.996,17.975,17.765,16.925,16.3,16.045
2016-11-30,,18.213,18.216,17.941,17.141,16.556,16.336
2016-12-01,,18.09,18.09,17.857,17.207,16.687,16.499
2016-12-02,,17.54,17.56,17.406,16.856,16.381,16.237
2016-12-05,,16.967,17.017,16.842,16.417,15.956,15.803
2016-12-06,,16.316,16.384,16.25,15.848,15.429,15.265
2016-12-07,,16.25,16.313,16.161,15.783,15.396,15.232
2016-12-08,,16.404,16.534,16.427,16.0,15.664,15.501
2016-12-09,,16.492,16.526,16.355,15.951,15.669,15.504
2016-12-12,,17.1,17.15,16.936,16.504,16.209,16.029
2016-12-13,,17.133,17.201,17.032,16.622,16.353,16.193
2016-12-14,,17.124,17.199,17.025,16.665,16.415,16.27
2016-12-15,,17.17,17.252,17.082,16.724,16.456,16.29
2016-12-16,,17.499,17.599,17.407,16.994,16.691,16.517
2016-12-19,,17.35,17.46,17.295,16.91,16.62,16.445
2016-12-20,,17.499,17.599,17.424,17.054,16.809,16.649
2016-12-21,,17.63,17.745,17.596,17.231,16.991,16.826
2016-12-22,,18.061,18.161,17.986,17.586,17.371,17.196
2016-12-23,,18.081,18.161,17.996,17.536,17.254,17.059
2016-12-28,,18.774,18.828,18.654,18.064,17.724,17.519
2016-12-29,,18.996,19.044,18.799,18.257,17.892,17.677
2016-12-30,,,19.541,19.335,18.685,18.37,18.127
2017-01-03,,,18.385,18.268,17.745,17.448,17.231
2017-01-04,,,18.843,18.58,17.989,17.649,17.434
2017-01-05,,,18.86,18.683,18.062,17.59,17.269
2017-01-06,,,18.543,18.318,17.748,17.303,17.024
2017-01-09,,,19.137,18.835,18.18,17.633,17.275
2017-01-10,,,19.806,19.49,18.695,17.968,17.461
2017-01-11,,,20.501,20.176,19.121,18.271,17.785
2017-01-12,,,20.319,19.969,18.951999999999998,18.102,17.616
2017-01-13,,,20.008,19.643,18.695,17.873,17.515
2017-01-16,,,19.002,18.745,18.084,17.432,17.228
2017-01-17,,,19.465,19.173,18.473,17.798000000000002,17.568
2017-01-18,,,19.619,19.369,18.579,17.974,17.699
2017-01-19,,,19.909,19.628,18.8,17.941,17.671
2017-01-20,,,20.493,20.196,19.157,18.202,17.923000000000002
2017-01-23,,,21.128,20.757,19.457,18.347,18.057
2017-01-24,,,20.703,20.379,19.129,18.104,17.844
2017-01-25,,,20.023,19.776,18.714,17.764,17.603
2017-01-26,,,19.846,19.606,18.559,17.679,17.682
2017-01-27,,,19.5,19.293,18.293,17.458,17.507
2017-01-30,,,20.4,20.08,18.83,17.723,17.58
2017-01-31,,,,20.749,19.169,17.869,17.589
2017-02-01,,,,21.515,19.538,18.038,17.748
2017-02-02,,,,21.75,19.489,17.999,17.744
2017-02-03,,,,22.243,19.64,18.062,17.786
2017-02-06,,,,21.942,19.433,17.946,17.716
2017-02-07,,,,21.27,19.136,17.891,17.734
2017-02-08,,,,20.291,18.854,17.879,17.719
2017-02-09,,,,20.188,18.85,17.955,17.789
2017-02-10,,,,19.772,18.747,17.927,17.797
2017-02-13,,,,19.05,18.36,17.74,17.565
2017-02-14,,,,18.731,18.186,17.611,17.433
2017-02-15,,,,18.85,18.207,17.611,17.407
2017-02-16,,,,19.01,18.235,17.635,17.427
2017-02-17,,,,18.476,17.877,17.474,17.274
2017-02-20,,,,18.569,18.089,17.732,17.576999999999998
2017-02-21,,,,18.121,17.878,17.608,17.503
2017-02-22,,,,18.046,17.876,17.596,17.466
2017-02-23,,,,18.302,18.152,17.75,17.619
2017-02-24,,,,17.798000000000002,17.737,17.455,17.344
2017-02-27,,,,17.281,17.231,17.001,16.9
