dt_trading,2014-11-03,2014-11-04,2014-11-05,2014-11-06,2014-11-07,2014-11-10,2014-11-11,2014-11-12,2014-11-13,2014-11-14,2014-11-17,2014-11-18,2014-11-19,2014-11-20,2014-11-21,2014-11-24,2014-11-25,2014-11-26,2014-11-27,2014-11-28,2014-12-01,2014-12-02,2014-12-03,2014-12-04,2014-12-05,2014-12-08,2014-12-09,2014-12-10,2014-12-11,2014-12-12,2014-12-15,2014-12-16,2014-12-17,2014-12-18,2014-12-19,2014-12-22,2014-12-23,2014-12-24,2014-12-29,2014-12-30,2014-12-31,2015-01-02,2015-01-05,2015-01-06,2015-01-07,2015-01-08,2015-01-09,2015-01-12,2015-01-13,2015-01-14,2015-01-15,2015-01-16,2015-01-19,2015-01-20,2015-01-21,2015-01-22,2015-01-23,2015-01-26,2015-01-27,2015-01-28,2015-01-29,2015-01-30,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-16,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-23,2015-02-24,2015-02-25,2015-02-26
2014-11-25,22.923866640922434,22.694467257678692,22.514815269070212,22.48711238687075,23.04677051050216,23.04918712261467,22.879074035584747,22.771329586921134,22.395576076126492,22.247067260289658,22.81920341520462,22.905199516628283,22.899938640601334,23.20597983145916,23.273282185122586,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,22.94496467559139,22.706501256419166,22.540092922457024,22.521896751180336,23.06182546012488,23.071561994975365,22.8829734731788,22.788267546483976,22.410218050493757,22.249592066930997,22.814378957187483,22.890916217195045,22.898985590819812,23.184734627040367,23.29559239327999,24.00249177918463,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-27,22.964640387541166,22.717747891199064,22.563735308597643,22.5543519026202,23.075377799976838,23.091960110496874,22.88600065871389,22.80348101357207,22.423360069774127,22.25124722558483,22.809470370437655,22.87727104125215,22.897638152246152,23.164809989285445,23.316143453813144,23.95671371488031,24.923126226273155,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,22.98296704445974,22.728232541156085,22.585791154737727,22.58454460103039,23.08750409775517,23.11044871011937,22.888222298935645,22.817026106271477,22.435038560293595,22.252069091062275,22.80450754798171,22.864322083533484,22.895903727349655,23.146334544039423,23.334371203724068,23.914037750924503,24.85019642988269,24.403085955812987,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,23.03076535269854,22.75545416044823,22.64311326270307,22.662499805615376,23.116393555450056,23.15550340476412,22.89097935133999,22.848617404093343,22.462030250577058,22.250298498388243,22.789727723333193,22.830108891548942,22.88876766682733,23.10020704220532,23.372720870638833,23.811978472747388,24.678034819136343,24.529764780123532,24.32656794037634,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-02,23.04466623718546,22.76325823740293,22.659556997066097,22.684686293108815,23.123979450564427,23.167520505507543,22.890987313715012,22.856586060280286,22.468712679932935,22.248679944636457,22.78502551641043,22.820360337355964,22.88597635567135,23.087910112537088,23.38031715362797,23.787040765153233,24.63798956805446,24.55771534832145,24.400326390601276,24.200637017008866,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03,23.057745177794388,22.770505999501026,22.67482752782283,22.705202586225425,23.130793490794005,23.178303528432068,22.89075542976793,22.86353521039224,22.474454531055997,22.24677366863748,22.780540230715424,22.81147989036324,22.88312300307953,23.07707192459255,23.38577779660939,23.766209295915427,24.605657607790796,24.579323947069874,24.45760243312919,24.201265772610956,24.05027628281981,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-04,23.07011194971013,22.77724417057098,22.68901707442121,22.72418149484071,23.13697759642992,23.18800557695123,22.89040530223797,22.8696148304702,22.47938159367886,22.244708782285187,22.776330852786288,22.803486995106297,22.880290445175497,23.06763953262677,23.389387804271664,23.749181786362048,24.580336729185312,24.59526177610161,24.500083188771445,24.201878513463814,24.050520566127037,23.75103823873619,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05,23.081870577602952,22.78351869459331,22.702214707705824,22.741750917143072,23.14266615043081,23.196772781554508,22.890051464378757,22.874967681713457,22.483614446910938,22.242607218302044,22.772452807852293,22.796398452018096,22.877556960400558,23.059560806308806,23.391418994462768,23.73566681267092,24.56135372491632,24.60617071468575,24.529383269089063,24.20246811445473,24.050703105105548,23.752040158848338,23.892151302250973,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08,23.114451586128073,22.80000812646119,22.736699607073152,22.78720757275008,23.15798927222237,23.218822042902374,22.890006979077867,22.887985011801238,22.49327538200864,22.23719410022086,22.763307503681435,22.78068727855666,22.870665364028646,23.042937549141804,23.390560036080124,23.71344569129564,24.536134912486165,24.61470317348739,24.55325793494874,24.204036054571493,24.05062430616171,23.754506566857547,23.868415851406432,23.412079615953438,23.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
