dt_trading,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-26,2018-02-27
2017-11-23,18.396007341770037,18.345247107370607,18.218403513753636,18.89004029628354,19.254226685364035,19.26801590283475,19.39426773755694,19.709244919482003,19.883843704928868,19.280624582278797,18.987933057959076,19.22215777301958,19.00728435408071,19.54503892228612,19.75058853508683,19.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-24,18.398174970367712,18.353168491945503,18.21685291038275,18.885680434925774,19.249744941973777,19.265325353050912,19.39586223974862,19.70024727673554,19.87798211735284,19.27677662342124,18.976723366131925,19.217595347660566,18.98637134803356,19.52391433764571,19.750118204414115,19.664779395728996,20.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-27,18.40361540996887,18.37426416034594,18.21191137801549,18.873056470398716,19.236676802679675,19.25699658721767,19.3991653607702,19.675389870143476,19.861285255077956,19.265580135903292,18.946186226102412,19.2042967017712,18.930423743359523,19.46702467544179,19.747948988444296,19.63047799918938,20.063801642289068,20.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-28,18.405125499338396,18.380457621680065,18.21022797505271,18.869064939865446,19.232518346692448,19.254206671157228,19.399829080420904,19.66788670310063,19.856083828919438,19.262018269493606,18.937136045772693,19.20005699713816,18.91445227333102,19.45078489689766,19.746906649916717,19.620416935026196,20.03493253562476,20.550026140291045,20.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-29,18.406514013810085,18.38626509654671,18.208561732555378,18.865217838724043,19.22849949912611,19.25145299160939,19.400312551024967,19.660806755456218,19.85110130275931,19.25857340438128,18.928684761439516,19.195951460703213,18.89993061618882,19.436064740008348,19.745705287328637,19.61122882086378,20.00905601361352,20.51359701159063,20.80435289782448,20.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-30,18.407801870335106,18.391711137971907,18.206936873812886,18.861539232321185,19.22464766777368,19.248765615445564,19.400645023791935,19.654167071014015,19.846361371501157,19.25526741454195,18.920844262131812,19.192006097725752,18.88686773036669,19.422885061959896,19.744365589296148,19.60296212305258,19.986382226287233,20.481376848118312,20.71164710217552,20.175825496184295,20.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,18.409011882358385,18.396823376626156,18.20537966168666,18.858054749339754,19.220992207010656,19.246177427356468,19.400859886218385,19.647983295385206,19.841888805571553,19.252124015302012,18.913620577768544,19.188249218491585,18.875234167738924,19.41121746450524,19.74292179316276,19.595622985779716,19.966904221871356,20.454022340365597,20.63362036291664,20.179783592603854,20.80362901236432,20.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-04,18.41241246586168,18.410454674800143,18.20138452349047,18.849024715269383,19.211502005434337,19.239349124635222,19.401159272705677,19.632300446557448,19.830320897141604,19.243913090487045,18.895648707758568,19.17840156906601,18.84825872014798,19.38454597215225,19.738421065786504,19.578831020118262,19.925542437242385,20.398409831237174,20.481169781516506,20.191655502544094,20.664233306421398,20.745077001555952,20.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-05,18.413542188170165,18.414523313495522,18.200359627512032,18.84656543522027,19.208918785614667,19.237487574551302,19.40125484468878,19.6280642979847,19.827153339837196,19.241655165453707,18.890883301721324,19.1756805315386,18.841687269494244,19.378179824030262,19.73700662180423,19.57485095904775,19.916712739197113,20.387460327284085,20.453348117678175,20.195609262117962,20.619503011788364,20.726349791073133,20.942883981152796,21.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-06,18.41470259559744,18.418397515790804,18.199523768538537,18.844414123820293,19.206663473821607,19.23587812295056,19.401398132091792,19.624336970539336,19.824360388297183,19.239668202066493,18.88672368334941,19.173278050819942,18.83621953153481,19.372955055883555,19.735698718792595,19.571618982332975,19.91001886604205,20.379737651008977,20.435096515119728,20.199558848660526,20.576013786156732,20.707826096858046,20.9378114443857,21.59203934596798,21.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-07,18.415911032308284,18.422101086503133,18.1988953559635,18.84258707364615,19.204755070170105,19.234543884692823,19.401615752369402,19.621123582533315,19.8219570174788,19.237968182437026,18.883163966174045,19.17121338798684,18.831793703352396,19.36880196531275,19.73453123638118,19.569099342374066,19.905266877626318,20.374921881606667,20.425333998972583,20.203502205967965,20.533965286864785,20.689549362313613,20.932823048669842,21.57814957844665,21.492826181675518,21.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-08,18.417183370091273,18.425656449415268,18.19849082065823,18.841098397794205,19.20321011444898,19.23350545531583,19.401932137075622,19.618427429576286,19.81995602577281,19.236569168740534,18.880197067807664,19.169503524566714,18.8283493680491,19.36565269952792,19.733535183926357,19.567256678258907,19.90227072310855,20.37270668648191,20.42302995926949,20.207436867498515,20.493540836678655,20.671560014889995,20.927955963838112,21.564397459533286,21.48472759255422,21.19062636461247,21.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-11,18.421520422116046,18.43563681366216,18.198755109240402,18.838771054930454,19.2008844278631,19.2323331860155,19.40368540479541,19.61344799656071,19.81646266073978,19.234289985955794,18.87476452290517,19.16663835281718,18.82332194072603,19.361577067131346,19.731842645766505,19.565442732171604,19.902075094172453,20.378805043969844,20.45131807267216,20.219157856942278,20.383599989834508,20.619675330554653,20.914403018753802,21.52455866262091,21.46155225196522,21.1840378078715,21.440108076104778,21.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-12,18.423177634549578,18.43879596251324,18.199370821282443,18.83873341772455,19.200909455227894,19.23263356109723,19.40459744474207,19.612817285849516,19.816155638061556,19.23419721901618,18.874074157523594,19.166471911334934,18.823227128348282,19.361801564779682,19.731785001236986,19.56596209606598,19.904399553023616,20.384200584201945,20.46954913709959,20.22302486318904,20.351178272290337,20.603179487061162,20.91032453682368,21.511923827427253,21.45439219669171,21.18217196291431,21.43453850836794,21.04578771121401,21.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
