dt_trading,Dec 15,Jan 16,Feb 16,Mar 16,Apr 16,May 16,Jun 16
2015-11-02,17.831,17.976,18.0,17.802,17.591,17.325,17.238
2015-11-03,17.876,18.014,18.06,17.87,17.641,17.376,17.298
2015-11-04,17.95,18.07,18.16,18.0,17.77,17.495,17.405
2015-11-05,17.707,17.853,17.938,17.773,17.528,17.248,17.153
2015-11-06,17.871,18.006,18.052,17.872,17.628,17.348,17.203
2015-11-09,17.458,17.612,17.666,17.466,17.171,16.886,16.791
2015-11-10,17.251,17.416,17.491,17.301,17.031,16.756,16.671
2015-11-11,17.074,17.229,17.289,17.099,16.864,16.599,16.514
2015-11-12,16.899,17.064,17.144,16.994,16.798000000000002,16.548000000000002,16.473
2015-11-13,17.001,17.151,17.226,17.1,16.925,16.705,16.65
2015-11-16,17.225,17.385,17.5,17.365,17.215,16.995,16.94
2015-11-17,17.624,17.849,18.039,17.904,17.734,17.514,17.449
2015-11-18,17.345,17.554,17.734,17.594,17.419,17.194,17.124
2015-11-19,17.36,17.62,17.829,17.635,17.478,17.263,17.203
2015-11-20,17.221,17.446,17.613,17.463,17.313,17.11,17.06
2015-11-23,17.192,17.417,17.587,17.437,17.287,17.082,17.032
2015-11-24,17.423,17.658,17.833,17.668,17.503,17.288,17.228
2015-11-25,17.561,17.836,18.061,17.886,17.716,17.496,17.431
2015-11-26,17.606,17.861,18.023,17.913,17.708,17.508,17.463
2015-11-27,17.542,17.817,18.007,17.882,17.667,17.452,17.392
2015-11-30,,18.025,18.21,18.08,17.84,17.625,17.565
2015-12-01,,18.218,18.398,18.313,17.988,17.789,17.749
2015-12-02,,17.85,18.05,17.915,17.615,17.41,17.365
2015-12-03,,17.354,17.559,17.439,17.154,16.949,16.904
2015-12-04,,17.453,17.658,17.538,17.268,17.063,17.018
2015-12-07,,16.836,17.031,16.936,16.691,16.486,16.441
2015-12-08,,16.84,17.035,16.94,16.695,16.49,16.445
2015-12-09,,16.586,16.786,16.681,16.478,16.273,16.233
2015-12-10,,16.506,16.686,16.601,16.411,16.226,16.191
2015-12-11,,16.289,16.489,16.394,16.214,16.034,15.999
2015-12-14,,15.872,16.052,15.972,15.812,15.642,15.607
2015-12-15,,16.094,16.284,16.194,16.024,15.849,15.814
2015-12-16,,15.73,15.9,15.77,15.615,15.455,15.435
2015-12-17,,15.603,15.828,15.723,15.593,15.453,15.441
2015-12-18,,15.394,15.604,15.499,15.369,15.234,15.224
2015-12-21,,15.086,15.317,15.221,15.085,14.94,14.92
2015-12-22,,14.943999999999999,15.214,15.134,15.019,14.879,14.879
2015-12-23,,14.566,14.841,14.766,14.716,14.606,14.61
2015-12-24,,14.457,14.732,14.642,14.582,14.462,14.457
2015-12-29,,15.393,15.548,15.463,15.36,15.233,15.229
2015-12-30,,14.911,15.203,15.12,15.017,14.894,14.911
2015-12-31,,,14.786,14.756,14.721,14.581,14.581
2016-01-04,,,14.605,14.535,14.482,14.377,14.397
2016-01-05,,,14.784,14.703,14.608,14.478,14.535
2016-01-06,,,15.126,15.021,14.846,14.696,14.696
2016-01-07,,,15.528,15.402,15.187,15.012,14.992
2016-01-08,,,14.766,14.686,14.516,14.396,14.386
2016-01-11,,,14.642,14.547,14.372,14.252,14.242
2016-01-12,,,14.048,14.013,13.878,13.753,13.736
2016-01-13,,,14.172,14.097,13.952,13.817,13.792
2016-01-14,,,13.757,13.687,13.562,13.447,13.395
2016-01-15,,,13.321,13.261,13.126,13.011,12.954
2016-01-18,,,13.39,13.296,13.156,13.039,12.988
2016-01-19,,,13.35,13.275,13.157,13.062,12.997
2016-01-20,,,12.797,12.75,12.695,12.61,12.52
2016-01-21,,,12.577,12.547,12.496,12.451,12.356
2016-01-22,,,13.458,13.463,13.483,13.475999999999999,13.429
2016-01-25,,,12.757,12.832,12.852,12.847,12.802
2016-01-26,,,12.892,12.992,12.982,13.002,12.992
2016-01-27,,,13.284,13.359,13.329,13.354,13.344
2016-01-28,,,13.669,13.739,13.739,13.794,13.759
2016-01-29,,,,13.376,13.421,13.541,13.501
2016-02-01,,,,12.803,12.858,13.003,12.961
2016-02-02,,,,12.78,12.845,12.925,12.865
2016-02-03,,,,12.924,12.984,12.986,12.946
2016-02-04,,,,12.406,12.526,12.531,12.501
2016-02-05,,,,12.272,12.397,12.412,12.392
2016-02-08,,,,12.24,12.32,12.31,12.285
2016-02-09,,,,12.156,12.211,12.196,12.166
2016-02-10,,,,11.981,12.056,12.046,12.026
2016-02-11,,,,11.859,11.929,11.929,11.909
2016-02-12,,,,12.082,12.182,12.172,12.132
2016-02-15,,,,11.965,12.05,12.135,12.092
2016-02-16,,,,11.725999999999999,11.826,11.861,11.816
2016-02-17,,,,11.886,11.946,11.971,11.926
2016-02-18,,,,12.139,12.18,12.192,12.142
2016-02-19,,,,11.995,12.02,12.054,12.018
2016-02-22,,,,12.381,12.381,12.429,12.4
2016-02-23,,,,12.309,12.279,12.297,12.237
2016-02-24,,,,12.051,11.951,11.912,11.867
2016-02-25,,,,11.904,11.854,11.815,11.768
2016-02-26,,,,12.164,12.139,12.124,12.099
