dt_trading,2012-11-01,2012-11-02,2012-11-05,2012-11-06,2012-11-07,2012-11-08,2012-11-09,2012-11-12,2012-11-13,2012-11-14,2012-11-15,2012-11-16,2012-11-19,2012-11-20,2012-11-21,2012-11-22,2012-11-23,2012-11-26,2012-11-27,2012-11-28,2012-11-29,2012-11-30,2012-12-03,2012-12-04,2012-12-05,2012-12-06,2012-12-07,2012-12-10,2012-12-11,2012-12-12,2012-12-13,2012-12-14,2012-12-17,2012-12-18,2012-12-19,2012-12-20,2012-12-21,2012-12-24,2012-12-27,2012-12-28,2012-12-31,2013-01-02,2013-01-03,2013-01-04,2013-01-07,2013-01-08,2013-01-09,2013-01-10,2013-01-11,2013-01-14,2013-01-15,2013-01-16,2013-01-17,2013-01-18,2013-01-21,2013-01-22,2013-01-23,2013-01-24,2013-01-25,2013-01-28,2013-01-29,2013-01-30,2013-01-31,2013-02-01,2013-02-04,2013-02-05,2013-02-06,2013-02-07,2013-02-08,2013-02-11,2013-02-12,2013-02-13,2013-02-14,2013-02-15,2013-02-18,2013-02-19,2013-02-20,2013-02-21,2013-02-22,2013-02-25,2013-02-26,2013-02-27
2012-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-02,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-05,26.54007946563206,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-06,26.569631933624645,27.103478274329436,26.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-07,26.59879547831428,27.106922202208928,26.662089432708214,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-08,26.62748843072516,27.1102997812058,26.674091412505774,27.155396434342496,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-09,26.655635432941484,27.113581904736293,26.685924193061325,27.16070607697059,27.148599198176832,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-12,26.73614182516504,27.122607013533298,26.71969489325968,27.17535364701384,27.143917497080697,26.93426519154996,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-13,26.761477668645036,27.12527296514926,26.73017295687133,27.179596017771335,27.142063611018283,26.945188021566388,27.107365471832754,27.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-14,26.785985438251394,27.1277404652215,26.740177387293418,27.183431872209656,27.140010287334704,26.955711317166955,27.114622047058724,27.063993761320003,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
