dt_trading,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-28,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13,2013-12-16,2013-12-17,2013-12-18,2013-12-19,2013-12-20,2013-12-23,2013-12-24,2013-12-27,2013-12-30,2013-12-31,2014-01-02,2014-01-03,2014-01-06,2014-01-07,2014-01-08,2014-01-09,2014-01-10,2014-01-13,2014-01-14,2014-01-15,2014-01-16,2014-01-17,2014-01-20,2014-01-21,2014-01-22,2014-01-23,2014-01-24,2014-01-27,2014-01-28,2014-01-29,2014-01-30,2014-01-31,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-17,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28
2013-11-22,26.639593222575865,26.813304749498027,27.19390900320709,26.892033556925412,26.73590389460144,26.75109579488044,27.025153833702607,27.484999049658782,27.473385896794397,27.577065416119172,27.690835645590045,28.057670241903306,27.85027791229285,27.617918213918173,27.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,26.711583161675577,26.89476984782636,27.26195098495738,27.017026582739224,26.868062851366215,26.92042716511068,27.188667328522854,27.53381190378179,27.566457861046196,27.687426170232804,27.877071652414365,28.105897589516466,27.917819210033848,27.666629580449854,27.822888862066424,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,26.732628640322105,26.91862413361075,27.28189951511804,27.0539470548502,26.90671865619044,26.969431085636014,27.236105798287703,27.548167508055762,27.59302013942575,27.71890890400151,27.93030250825064,28.1188484151951,27.936964949637186,27.679935048283088,27.813987143291,27.875909404337797,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,26.752281370897006,26.94090394153317,27.300530741852874,27.088536428318747,26.942734884095334,27.01474011331985,27.279991436028624,27.561530750378367,27.617315986371715,27.747662004920894,27.978683363814543,28.130063632370284,27.954109699005993,27.691378092647824,27.80521744111677,27.852512883670794,27.862561871534584,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,26.7706080166244,26.96167385027368,27.317889787958485,27.12084520191196,26.976181109935148,27.056429667559314,27.320372917358128,27.573895988838945,27.639374421391903,27.773706330265934,28.022134751152993,28.139526383924025,27.969171791552363,27.700857270738787,27.796626998630128,27.830372051454926,27.826790335729097,27.934063644612788,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-29,26.78768654856244,26.981011132712148,27.334032353381648,27.15094120573327,27.007149686415246,27.094615430575935,27.35733929540492,27.585267695613542,27.659258040965238,27.797107658447455,28.060694661165485,28.147277826689248,27.982141907128156,27.708362149732427,27.78826880054092,27.809889894813317,27.793928396027287,27.87255989569757,28.13980651676481,28.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,26.83238074897353,27.031388132510607,27.37587506061795,27.228888259394477,27.0864511216259,27.189904660703178,27.44923815441316,27.613616978498705,27.706984733886838,27.852778756396983,28.149151029906438,28.161537657153158,28.009482503804442,27.72027920849291,27.765202354300783,27.760138702060424,27.717882364390075,27.734953970486607,27.887673616134897,28.155201453327535,28.050000000000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,26.84545295964549,27.04599994096957,27.387903202372748,27.25113284631982,27.108853406598076,27.215978467213485,27.474185500509144,27.621251064670567,27.719419135525733,27.867101173942117,28.170715711408498,28.163933754470452,28.015342139465734,27.721479804273137,27.75840523856101,27.747424773704747,27.69983212991811,27.704605676680913,27.8331216003894,28.16115518551697,25.506948895515404,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,26.857786161950976,27.05970080746959,27.39910849948947,27.27169924040371,27.129492626257456,27.239580320510836,27.49662364581247,27.628038787063826,27.73037388702803,27.879621667732383,28.188934471798177,28.165484219866716,28.019900993162505,27.72170289395405,27.752159093180907,27.736537685030573,27.685038704166494,27.680929783988933,27.791251059297547,28.16710786970414,23.546027687266427,28.695705518464102,29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,26.869477155017005,27.0725905439141,27.4095677402353,27.290696390006378,27.148511254706666,27.260920747002256,27.516742471108913,27.634019011069924,27.739994503791454,27.890517744898354,28.204152745985343,28.166372515905305,28.023341490709672,27.721174098087364,27.746519677195398,27.72741148964229,27.673273835877414,27.66329464225594,27.76081521605569,28.173058503570317,22.107991004837608,28.691403902632626,29.2521063253788,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
